ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at
202.46.34.74,svr74.efeedlink.com.,24413,"ShenZhen Sunrise Technology Co.,Ltd.",CN,Guangzhou,9.11.4-P2-RedHat-9.11.4-26.P2.el7_9.4,,true,1.00,2021-05-03T22:23:55Z,2021-04-28T17:24:20Z
202.46.34.76,svr76.efeedlink.com.,24413,263 Shanghai Communications Ltd.,CN,,9.11.4-P2-RedHat-9.11.4-26.P2.el7_9.9,,true,0.97,2022-08-29T09:24:06Z,2021-04-28T17:24:29Z
114.114.115.119,anti-malware-2.114dns.com.,174,COGENT-174,CN,,,,false,0.97,2022-01-06T10:36:06Z,2021-12-23T09:05:26Z
114.114.114.114,public1.114dns.com.,174,COGENT-174,CN,,,,false,0.80,2022-04-07T09:18:10Z,2022-02-14T01:11:30Z
114.114.115.115,public2.114dns.com.,174,COGENT-174,CN,,,,false,1.00,2023-02-28T18:48:26Z,2022-04-25T22:33:27Z
202.46.33.250,ptr.cnsat.com.cn.,24413,263 Shanghai Communications Ltd.,CN,,9.11.36,,false,1.00,2022-08-24T10:00:46Z,2022-08-24T10:00:46Z
103.251.105.188,,4766,Korea Telecom,CN,Nanning,,,false,1.00,2022-09-02T13:26:08Z,2022-08-26T03:23:07Z
1.12.13.53,,45090,Shenzhen Tencent Computer Systems Company Limited,CN,,,,false,1.00,2022-09-01T05:44:17Z,2022-09-01T05:44:17Z
121.4.4.41,,45090,Shenzhen Tencent Computer Systems Company Limited,CN,,,,false,0.97,2022-10-10T16:35:37Z,2022-09-29T21:13:12Z
103.144.53.209,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2022-10-04T08:32:58Z,2022-10-02T18:19:57Z
223.6.6.199,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2022-12-06T23:22:26Z,2022-10-10T23:43:30Z
223.5.5.17,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-02-15T23:09:17Z,2022-10-12T06:46:38Z
103.144.53.104,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2022-10-15T23:36:45Z,2022-10-15T23:36:45Z
120.53.53.84,,45090,Shenzhen Tencent Computer Systems Company Limited,CN,,,,false,1.00,2022-10-16T04:24:40Z,2022-10-16T04:24:40Z
223.6.6.198,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2022-10-30T03:35:45Z,2022-10-26T14:24:55Z
223.5.5.219,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2022-10-27T06:40:21Z,2022-10-27T05:49:25Z
140.210.69.173,,4808,China Unicom Beijing Province Network,CN,,,,true,1.00,2022-10-28T22:38:42Z,2022-10-28T21:21:24Z
223.6.6.141,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2022-11-01T16:47:13Z,2022-10-30T17:58:42Z
223.6.6.56,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2022-11-11T00:57:24Z,2022-10-31T18:53:51Z
103.251.106.105,,4766,Korea Telecom,CN,,,,false,1.00,2022-11-11T01:02:02Z,2022-11-08T21:49:52Z
103.144.52.233,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2023-02-09T13:41:20Z,2022-11-12T14:43:51Z
223.6.6.72,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2022-12-15T07:07:00Z,2022-11-14T15:43:03Z
120.53.53.116,,45090,Shenzhen Tencent Computer Systems Company Limited,CN,,,,false,0.21,2023-02-09T13:30:53Z,2022-11-17T19:39:42Z
223.5.5.51,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-01T00:47:01Z,2022-11-20T12:15:28Z
223.6.6.46,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2022-12-06T22:04:43Z,2022-11-20T14:32:15Z
223.5.5.190,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2022-12-06T23:47:13Z,2022-11-21T01:35:47Z
120.53.53.183,,45090,Shenzhen Tencent Computer Systems Company Limited,CN,,,,false,1.00,2022-12-06T23:48:16Z,2022-11-22T07:07:38Z
223.6.6.169,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-02-26T00:58:02Z,2022-11-27T00:08:42Z
223.6.6.195,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2022-12-15T11:04:59Z,2022-12-01T00:32:31Z
103.144.52.214,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,0.92,2023-02-19T21:53:12Z,2022-12-21T16:13:40Z
223.5.5.224,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-02-19T06:55:25Z,2022-12-26T18:34:24Z
173.82.141.168,,35916,MULTA-ASN1,CN,,,,true,0.99,2023-02-20T09:07:45Z,2022-12-31T15:32:39Z
223.5.5.111,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-02-19T20:01:43Z,2023-01-01T21:27:32Z
223.6.6.6,public2.alidns.com.,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-02-19T20:02:25Z,2023-01-02T19:39:48Z
120.53.53.54,,45090,Shenzhen Tencent Computer Systems Company Limited,CN,,,,false,0.91,2023-02-26T09:10:00Z,2023-02-23T10:36:40Z
223.6.6.17,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-02-27T23:50:12Z,2023-02-23T14:20:10Z
120.53.53.198,,45090,Shenzhen Tencent Computer Systems Company Limited,CN,,,,false,0.94,2023-03-02T20:44:49Z,2023-02-26T20:11:55Z
202.46.34.75,svr75.efeedlink.com.,24413,263 Shanghai Communications Ltd.,CN,,9.11.4-P2-RedHat-9.11.4-26.P2.el7_9.13,,true,1.00,2023-03-01T22:50:08Z,2023-02-28T19:27:48Z
103.144.52.240,,139726,"Guangdong Yunjie Communication Co., Ltd.",CN,,,,false,1.00,2023-03-02T03:52:25Z,2023-02-28T21:59:17Z
223.6.6.204,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-08T22:48:18Z,2023-03-02T03:41:58Z
223.5.5.228,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-04T22:45:11Z,2023-03-02T09:14:06Z
223.6.6.127,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-03T21:57:03Z,2023-03-02T10:51:25Z
223.5.5.148,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-10T00:44:44Z,2023-03-03T06:40:46Z
223.6.6.133,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-08T22:51:48Z,2023-03-08T19:29:08Z
121.4.4.246,,45090,Shenzhen Tencent Computer Systems Company Limited,CN,,,,false,0.95,2023-03-11T22:44:47Z,2023-03-10T03:56:40Z
223.5.5.187,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-13T08:45:23Z,2023-03-13T00:49:14Z
223.5.5.123,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-13T08:45:27Z,2023-03-13T00:51:55Z
223.5.5.82,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-04-12T18:12:30Z,2023-03-13T00:55:40Z
223.6.6.139,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-13T04:45:18Z,2023-03-13T02:24:12Z
223.5.5.79,,37963,"Hangzhou Alibaba Advertising Co.,Ltd.",CN,Hangzhou,,,false,1.00,2023-03-13T04:48:05Z,2023-03-13T02:54:49Z
